"x","y","no2_avg_22"
4326500,2597500,3.04790568351746
4327500,2597500,3.11541342735291
4328500,2597500,3.20388054847717
4329500,2597500,3.27806854248047
4330500,2597500,3.32838463783264
4331500,2597500,3.36542868614197
4332500,2597500,3.31934666633606
4333500,2597500,3.18943071365356
4334500,2597500,3.12731409072876
4335500,2597500,2.99308657646179
4336500,2597500,3.03789973258972
4337500,2597500,3.13910126686096
4338500,2597500,3.17343688011169
4339500,2597500,3.18193984031677
4340500,2597500,3.27658414840698
4341500,2597500,3.55301141738892
4342500,2597500,6.08455371856689
4343500,2597500,3.65375423431396
4344500,2597500,10.5737581253052
4345500,2597500,8.80294513702393
4346500,2597500,4.08047819137573
4347500,2597500,4.12543773651123
4348500,2597500,5.44646215438843
4349500,2597500,4.00790119171143
4350500,2597500,3.94372653961182
4351500,2597500,3.84377813339233
4352500,2597500,3.48270964622498
4353500,2597500,3.31421089172363
4354500,2597500,3.23119306564331
4355500,2597500,3.21236228942871
4356500,2597500,3.27435111999512
4357500,2597500,3.24118375778198
4358500,2597500,3.18536281585693
4359500,2597500,3.07117605209351
4360500,2597500,3.01806354522705
4361500,2597500,3.03666973114014
4362500,2597500,3.06616497039795
4363500,2597500,3.11750555038452
4266500,2596500,3.47867321968079
4267500,2596500,3.93671679496765
4268500,2596500,4.04372882843018
4269500,2596500,4.06034564971924
4270500,2596500,4.06797218322754
4271500,2596500,4.05273103713989
4272500,2596500,4.04723644256592
4273500,2596500,4.05230045318604
4274500,2596500,4.0004711151123
4275500,2596500,3.21885371208191
4276500,2596500,3.28521394729614
4277500,2596500,3.38302850723267
4278500,2596500,3.36830425262451
4325500,2596500,2.90898871421814
4326500,2596500,2.99118661880493
4327500,2596500,3.06597518920898
4328500,2596500,3.1162703037262
4329500,2596500,3.16375303268433
4330500,2596500,3.19851469993591
4331500,2596500,3.19114089012146
4332500,2596500,3.14653897285461
4333500,2596500,3.08068227767944
4334500,2596500,2.97876787185669
4335500,2596500,2.9009575843811
4336500,2596500,3.00159597396851
4337500,2596500,3.0962450504303
4338500,2596500,3.12156748771667
4339500,2596500,3.15385603904724
4340500,2596500,3.28406715393066
4341500,2596500,11.9549436569214
4342500,2596500,3.62303495407104
4343500,2596500,3.74329018592834
4344500,2596500,4.14986562728882
4345500,2596500,11.9554176330566
4346500,2596500,4.24671220779419
4347500,2596500,9.79367542266846
4348500,2596500,12.6742916107178
4349500,2596500,5.91777753829956
4350500,2596500,4.16379165649414
4351500,2596500,4.04185009002686
