"x","y","EEA_1kmgrid_2017_pm25_avg"
4516500,2615500,4.35072994232178
4517500,2615500,4.27725982666016
4518500,2615500,4.31393003463745
4519500,2615500,4.29316997528076
4520500,2615500,4.40567016601562
4521500,2615500,4.5319299697876
4522500,2615500,5.11112022399902
4523500,2615500,4.76090002059937
4524500,2615500,4.70491981506348
4525500,2615500,8.0440502166748
4526500,2615500,4.51428985595703
4527500,2615500,4.46333980560303
4528500,2615500,4.83351993560791
4529500,2615500,4.85765981674194
4530500,2615500,4.86604022979736
4478500,2614500,4.10043001174927
4479500,2614500,4.11840009689331
4480500,2614500,4.15737009048462
4481500,2614500,4.31928014755249
4482500,2614500,4.26448011398315
4483500,2614500,4.16669988632202
4484500,2614500,4.08682012557983
4485500,2614500,4.12352991104126
4486500,2614500,4.20451021194458
4487500,2614500,4.35366010665894
4488500,2614500,4.41513013839722
4489500,2614500,4.55115985870361
4490500,2614500,4.77056980133057
4491500,2614500,4.79081010818481
4492500,2614500,4.51124000549316
4493500,2614500,4.49336004257202
4494500,2614500,4.63542985916138
4495500,2614500,4.52589988708496
4496500,2614500,4.40138006210327
4497500,2614500,4.50285005569458
4498500,2614500,4.59827995300293
4499500,2614500,4.70830011367798
4500500,2614500,4.66078996658325
4501500,2614500,4.48327016830444
4502500,2614500,4.55202007293701
4503500,2614500,4.5314998626709
4504500,2614500,4.52544021606445
4505500,2614500,4.20633983612061
4506500,2614500,4.36852979660034
4507500,2614500,4.46857023239136
4508500,2614500,4.54792022705078
4509500,2614500,4.66261005401611
4510500,2614500,5.15336990356445
4511500,2614500,4.78599977493286
4512500,2614500,4.53579998016357
4513500,2614500,4.36508989334106
4514500,2614500,4.53046989440918
4515500,2614500,4.57526016235352
4516500,2614500,4.4950098991394
4517500,2614500,4.43696022033691
4518500,2614500,4.35753011703491
4519500,2614500,4.4468297958374
4520500,2614500,4.49762010574341
4521500,2614500,4.78701019287109
4522500,2614500,4.99550008773804
4523500,2614500,4.50598001480103
4524500,2614500,4.43522977828979
4525500,2614500,4.47441005706787
4526500,2614500,4.37154006958008
4527500,2614500,4.3713002204895
4528500,2614500,4.8038501739502
4529500,2614500,4.88903999328613
4530500,2614500,4.83994007110596
4477500,2613500,4.19921016693115
4478500,2613500,4.06763982772827
4479500,2613500,4.22537994384766
4480500,2613500,4.31965017318726
4481500,2613500,4.39822006225586
4482500,2613500,4.24530982971191
4483500,2613500,4.16921997070312
4484500,2613500,4.19987010955811
4485500,2613500,4.25448989868164
4486500,2613500,4.36632013320923
4487500,2613500,4.34111976623535
4488500,2613500,4.32651996612549
4489500,2613500,4.38808012008667
4490500,2613500,4.6982798576355
4491500,2613500,4.78161001205444
4492500,2613500,4.58475017547607
4493500,2613500,4.47677993774414
4494500,2613500,4.63369989395142
4495500,2613500,4.56926012039185
4496500,2613500,4.45927000045776
4497500,2613500,4.60803985595703
4498500,2613500,4.71871995925903
4499500,2613500,4.7859902381897
4500500,2613500,4.89237022399902
